Date,Open,High,Low,Close,Volume,Exchange
2022-02-10,3789.80,3789.80,3758.00,3770.35,2112459,NSE
2022-02-09,3750.00,3777.95,3746.10,3760.55,1638721,NSE
2022-02-08,3791.55,3799.70,3721.00,3743.45,2946443,NSE
2022-02-07,3791.00,3831.80,3756.15,3779.00,1919149,NSE
2022-02-04,3815.30,3824.70,3769.00,3814.90,2307366,NSE
2022-02-03,3851.00,3882.50,3816.05,3824.60,1960538,NSE
2022-02-02,3827.90,3864.00,3800.65,3856.20,1984212,NSE
2022-02-01,3770.00,3808.00,3736.40,3800.65,2105169,NSE
2022-01-31,3749.00,3758.00,3721.40,3736.25,2739393,NSE
2022-01-28,3646.00,3729.80,3646.00,3690.05,3143862,NSE
2022-01-27,3731.00,3733.40,3625.10,3649.25,5718297,NSE
2022-01-25,3769.50,3809.40,3722.20,3769.90,3330501,NSE
2022-01-24,3840.00,3849.65,3740.10,3771.35,3258414,NSE
2022-01-21,3807.00,3851.55,3771.10,3833.50,3112358,NSE
2022-01-20,3910.00,3920.00,3811.00,3826.55,6176776,NSE
2022-01-19,4012.00,4012.00,3910.50,3914.65,3102539,NSE
2022-01-18,4033.95,4041.70,3980.00,3990.60,2389041,NSE
2022-01-17,3992.70,4043.00,3962.30,4019.15,3442604,NSE
2022-01-14,3877.85,3977.00,3860.05,3968.15,3348123,NSE
2022-01-13,3918.00,3923.00,3857.00,3897.90,6684507,NSE
2022-01-12,3925.00,3929.00,3836.55,3859.90,3203744,NSE
2022-01-11,3856.00,3925.00,3856.00,3915.90,1906106,NSE
2022-01-10,3978.00,3978.00,3861.00,3879.85,3937092,NSE
2022-01-07,3820.00,3864.90,3796.40,3853.50,2460591,NSE
2022-01-06,3812.00,3835.00,3772.00,3807.45,1810293,NSE
2022-01-05,3865.00,3870.00,3812.40,3860.95,1733031,NSE
2022-01-04,3831.10,3889.15,3811.70,3884.75,2488606,NSE
2022-01-03,3750.00,3830.00,3745.00,3817.75,2346158,NSE
2021-12-31,3742.80,3760.00,3731.30,3738.35,1207141,NSE
2021-12-30,3681.35,3740.00,3680.00,3733.75,1966475,NSE
2021-12-29,3692.25,3719.95,3685.00,3694.70,1456923,NSE
2021-12-28,3710.00,3725.00,3693.85,3706.55,1456218,NSE
2021-12-27,3671.00,3700.00,3653.10,3696.10,1534135,NSE
2021-12-24,3685.00,3705.00,3644.80,3670.90,2209923,NSE
2021-12-23,3648.00,3670.50,3630.00,3662.70,1792861,NSE
2021-12-22,3624.00,3636.80,3606.25,3630.75,1224328,NSE
2021-12-21,3582.65,3641.20,3566.40,3608.30,2340989,NSE
2021-12-20,3589.00,3606.00,3510.15,3556.90,2312310,NSE
2021-12-17,3602.50,3651.35,3573.70,3584.35,4333992,NSE
2021-12-16,3582.00,3608.45,3570.00,3581.60,2072320,NSE
2021-12-15,3620.00,3623.00,3558.15,3570.35,1603233,NSE
2021-12-14,3605.00,3635.00,3576.70,3623.80,1747007,NSE
2021-12-13,3650.00,3662.00,3601.70,3609.65,1883864,NSE
2021-12-10,3585.00,3642.00,3575.10,3636.80,1510718,NSE
2021-12-09,3610.00,3634.75,3566.00,3601.75,1567957,NSE
2021-12-08,3601.00,3646.45,3601.00,3626.90,1428660,NSE
2021-12-07,3562.50,3598.00,3524.30,3584.50,1484458,NSE
2021-12-06,3640.45,3658.00,3522.00,3536.40,1849642,NSE
2021-12-03,3646.45,3665.95,3630.85,3640.45,2486263,NSE
2021-12-02,3589.20,3648.00,3574.10,3642.90,3152938,NSE
2021-12-01,3535.00,3590.00,3535.00,3577.80,2102118,NSE
2021-11-30,3491.00,3563.75,3491.00,3529.15,5588446,NSE
2021-11-29,3447.15,3529.35,3406.45,3502.00,2981745,NSE
2021-11-26,3425.00,3490.00,3411.90,3446.85,1941251,NSE
2021-11-25,3443.90,3463.00,3434.05,3445.90,1849619,NSE
2021-11-24,3472.20,3493.05,3424.00,3443.30,2161746,NSE
2021-11-23,3445.00,3480.95,3407.80,3464.25,2153461,NSE
2021-11-22,3478.40,3515.95,3440.30,3458.40,3167936,NSE
2021-11-18,3515.15,3520.85,3451.60,3475.70,2136598,NSE
2021-11-17,3550.60,3562.85,3506.40,3521.90,1632914,NSE
2021-11-16,3569.00,3575.55,3542.00,3556.40,2013204,NSE
2021-11-15,3528.00,3569.60,3528.00,3553.30,1809157,NSE
2021-11-12,3506.00,3534.15,3485.70,3526.05,1747259,NSE
2021-11-11,3480.00,3510.05,3436.00,3488.20,1284514,NSE
2021-11-10,3498.00,3519.70,3480.20,3484.30,1516489,NSE
2021-11-09,3508.00,3535.00,3496.00,3505.70,1782692,NSE
2021-11-08,3548.00,3548.00,3481.20,3502.75,2526082,NSE
2021-11-04,3512.95,3513.25,3505.00,3508.65,328991,NSE
2021-11-03,3504.20,3519.90,3466.05,3492.25,1537639,NSE
2021-11-02,3494.00,3513.60,3469.75,3484.20,3087414,NSE
2021-11-01,3437.95,3487.00,3412.95,3476.40,2020718,NSE
2021-10-29,3400.05,3461.00,3385.95,3397.75,3960501,NSE
2021-10-28,3518.00,3518.00,3415.00,3421.65,2424942,NSE
2021-10-27,3483.00,3511.25,3483.00,3489.75,2510813,NSE
2021-10-26,3494.50,3529.00,3475.00,3482.60,3878763,NSE
2021-10-25,3503.00,3514.55,3450.00,3492.95,2595594,NSE
2021-10-22,3560.00,3561.60,3485.00,3498.85,2691670,NSE
2021-10-21,3604.10,3607.45,3511.25,3532.50,4871211,NSE
2021-10-20,3612.00,3630.00,3578.30,3608.85,2933693,NSE
2021-10-19,3669.00,3690.10,3625.20,3634.15,3135441,NSE
2021-10-18,3603.45,3652.70,3601.45,3647.15,3590107,NSE
2021-10-14,3625.00,3670.00,3608.20,3611.45,6442299,NSE
2021-10-13,3650.00,3675.45,3645.00,3655.20,3545655,NSE
2021-10-12,3706.00,3707.00,3630.60,3652.85,5752877,NSE
2021-10-11,3755.00,3757.50,3660.00,3685.60,11845402,NSE
2021-10-08,3925.00,3989.90,3900.00,3935.65,2934339,NSE
2021-10-07,3830.00,3899.00,3820.05,3892.90,1647233,NSE
2021-10-06,3836.00,3857.45,3795.00,3810.90,1678154,NSE
2021-10-05,3754.00,3840.00,3741.60,3833.30,1877966,NSE
2021-10-04,3724.80,3783.65,3707.45,3773.30,1356860,NSE
2021-10-01,3781.75,3810.00,3725.00,3730.20,1578374,NSE
2021-09-30,3805.00,3805.00,3750.10,3775.55,2252412,NSE
2021-09-29,3759.80,3806.00,3722.15,3791.90,2489161,NSE
2021-09-28,3850.00,3850.00,3751.25,3779.15,2253075,NSE
2021-09-27,3900.00,3904.00,3802.90,3836.95,1673362,NSE
2021-09-24,3890.00,3944.40,3855.00,3871.30,2320754,NSE
2021-09-23,3870.00,3879.00,3835.00,3869.25,2003869,NSE
2021-09-22,3862.50,3896.85,3852.45,3862.15,1744067,NSE
2021-09-21,3858.00,3871.55,3821.65,3862.95,1568129,NSE
2021-09-20,3809.00,3871.00,3807.85,3823.50,2002008,NSE
2021-09-17,3920.00,3945.00,3805.00,3827.85,6477148,NSE
2021-09-16,3930.00,3981.75,3892.10,3903.30,2946666,NSE
